Nome,Data,Popularidade,Gênero,Categoria,Tipo,Temporada
The Mighty Nein,2025-11-19,1.6383,"Animação, Sci-Fi & Fantasy",Série,Nova Série,1
친애하는 X,2025-11-06,1.5505,"Crime, Drama",Série,Nova Série,1
Como um Relâmpago,2025-11-06,1.4885,"Drama, Crime",Série,Nova Série,1
藤本タツキ 17-26,2025-11-08,1.46,Animação,Série,Nova Série,1
I Love LA,2025-11-02,1.2782,Comédia,Série,Nova Série,1
Anatomía de un instante,2025-11-20,1.2376,"Drama, War & Politics",Série,Nova Série,1
The Faithful,2026-03-22,1.2341,Drama,Série,Nova Série,1
A Caçada,2025-12-03,1.2101,"Drama, Mistério",Série,Nova Série,1
마지막 썸머,2025-11-01,1.1852,"Drama, Comédia",Série,Nova Série,1
Merteuil,2025-11-14,1.182,Drama,Série,Nova Série,1
Strip Law,2026-02-20,1.1714,"Animação, Comédia, Drama",Série,Nova Série,1
TRINITY,2026-07-16,1.1565,Drama,Série,Nova Série,1
O Cuco de Cristal,2025-11-14,1.1343,Drama,Série,Nova Série,1
The Twelve Dates 'Til Christmas,2025-12-05,1.1174,Comédia,Série,Nova Série,1
Você Estava Lá,2025-11-07,1.0746,"Crime, Drama, Mistério",Série,Nova Série,1
Yakarta,2025-11-06,0.9656,Comédia,Série,Nova Série,1
키스는 괜히 해서!,2025-11-12,0.9268,Drama,Série,Nova Série,1
Las hijas de la criada,2025-11-30,0.8959,Não informado,Série,Nova Série,1
人間標本,2025-12-19,0.8702,"Drama, Mistério",Série,Nova Série,1
Arcadia,2025-11-10,0.8625,Drama,Série,Nova Série,1
프로보노,2025-11-29,0.839,Comédia,Série,Nova Série,1
Sra. Playmen,2025-11-12,0.8254,Drama,Série,Nova Série,1
아이돌아이,2025-12-15,0.8154,"Comédia, Mistério",Série,Nova Série,1
ひらやすみ,2025-11-03,0.7957,Drama,Série,Nova Série,1
Como Ganhar na Loteria,2025-11-14,0.7466,"Drama, Comédia",Série,Nova Série,1
Power: Origins,2026-11-30,0.7322,"Crime, Drama",Série,Nova Série,1
Las Aventuras de Alicia y Francisco,2026-12-24,0.6994,"Animação, Action & Adventure, Kids",Série,Nova Série,1
The American Revolution,2025-11-16,0.6942,Documentário,Série,Nova Série,1
スキャンダルイブ,2025-11-19,0.6915,Mistério,Série,Nova Série,1
MasterChef Celebridades,2025-11-18,0.6902,Reality,Série,Nova Série,1
The Danish Woman,2025-12-31,0.6821,"Comédia, Drama",Série,Nova Série,1
シャドウワーク,2025-11-23,0.6525,Drama,Série,Nova Série,1
Le Rouge et le Noir,2026-12-31,0.6365,Drama,Série,Nova Série,1
The Doomies,2025-12-11,0.6334,"Animação, Comédia",Série,Nova Série,1
Les tres bessones,2027-01-01,0.5915,"Animação, Kids, Action & Adventure",Série,Nova Série,1
Zero Stars,2026-12-31,0.5765,Não informado,Série,Nova Série,1
Désenchantées,2026-01-01,0.574,"Drama, Mistério, Crime",Série,Nova Série,1
悪いのはあなたです,2025-11-04,0.5548,Drama,Série,Nova Série,1
By The Way: The Beginning,2027-07-05,0.5448,Não informado,Série,Nova Série,1
BeLIEf,2026-06-01,0.5411,"Sci-Fi & Fantasy, Crime, Action & Adventure",Série,Nova Série,1
Single Papa,2026-12-01,0.5339,Não informado,Série,Nova Série,1
Rizzler News,2026-09-30,0.5175,"Drama, Crime, Comédia, Mistério",Série,Nova Série,1
No King Stands Alone,2025-12-28,0.5134,Drama,Série,Nova Série,1
도굴왕,2026-07-15,0.5071,Animação,Série,Nova Série,1
最強出涸らし皇子の暗躍帝位争い 無能を演じるSSランク皇子は皇位継承戦を影から支配する,2025-12-31,0.5058,"Animação, Comédia, Sci-Fi & Fantasy",Série,Nova Série,1
Beige Lantern,2025-12-26,0.5034,Drama,Série,Nova Série,1
INCOMING: the game,2025-11-15,0.4991,Mistério,Série,Nova Série,1
Coal,2025-12-25,0.4984,"Animação, Kids",Série,Nova Série,1
Letters to Addy,2026-04-25,0.4946,Não informado,Série,Nova Série,1
What's 'T' Got To Do With It?,2025-12-03,0.492,Drama,Série,Nova Série,1
Made in India – A Titan Story,2026-06-26,0.4728,Não informado,Série,Nova Série,1
Action Movie Mayhem,2025-11-20,0.468,"Documentário, Reality",Série,Nova Série,1
Teen Kawwe,2026-05-01,0.4591,Não informado,Série,Nova Série,1
The Stardust Hotel,2026-01-01,0.45,Sci-Fi & Fantasy,Série,Nova Série,1
Maria Madalena,2026-08-07,0.4486,Não informado,Série,Nova Série,1
イキヅライブ！LOVELIVE! BLUEBIRD,2025-12-31,0.4349,Não informado,Série,Nova Série,1
Elemental Nexus,2025-12-17,0.4306,"Action & Adventure, Mistério, Sci-Fi & Fantasy, Comédia",Série,Nova Série,1
Pitago Stop,2026-12-01,0.4274,Comédia,Série,Nova Série,1
Guz Khan's Custom Cars,2026-12-31,0.423,Não informado,Série,Nova Série,1
Les Rois de la Main,2026-07-01,0.423,Comédia,Série,Nova Série,1
Beta Crystal,2026-01-05,0.4179,"Animação, Sci-Fi & Fantasy",Série,Nova Série,1
Prehistoric Planet: Ice Age,2025-11-26,0.4179,Não informado,Série,Nova Série,1
The Ninth Knot,2026-12-30,0.4153,"Drama, Crime",Série,Nova Série,1
The Red Dogs,2025-12-31,0.4104,"Documentário, Crime",Série,Nova Série,1
Out of the Shadows,2025-12-23,0.4094,Não informado,Série,Nova Série,1
Forces of Nature,2025-12-23,0.4012,"Action & Adventure, Drama",Série,Nova Série,1
The last Sanctury,2026-07-24,0.4,"Sci-Fi & Fantasy, Drama, Mistério",Série,Nova Série,1
替え玉ブラヴォー！,2026-01-05,0.399,Drama,Série,Nova Série,1
Breakout: The YouTuber Story,2026-07-16,0.3971,"Documentário, Reality, Action & Adventure",Série,Nova Série,1
Wiccan,2025-12-01,0.3952,Não informado,Série,Nova Série,1
James Rodríguez: La Docuserie,2025-12-31,0.3944,Não informado,Série,Nova Série,1
Ben-Hur,2026-06-08,0.3944,Não informado,Série,Nova Série,1
Você Me Vira a Cabeça,2026-01-01,0.3932,"Comédia, Drama",Série,Nova Série,1
Droneland,2025-12-31,0.3928,Não informado,Série,Nova Série,1
Das Haus,2025-12-01,0.3899,"Mistério, Família, Drama",Série,Nova Série,1
神の庭付き楠木邸,2026-01-01,0.3891,Animação,Série,Nova Série,1
Adrenaline Man,2025-12-29,0.3882,Não informado,Série,Nova Série,1
Strikers,2026-06-01,0.3872,Não informado,Série,Nova Série,1
Heart of the Dawn: Inferno,2026-01-09,0.3872,Não informado,Série,Nova Série,1
Hard Evidence,2026-04-01,0.3863,Não informado,Série,Nova Série,1
Discretion,2026-12-11,0.3839,Não informado,Série,Nova Série,1
Sisco,2026-09-01,0.3813,Não informado,Série,Nova Série,1
Criminal Conundrums,2025-12-31,0.3732,Não informado,Série,Nova Série,1
Life in a Glimpse,2026-01-01,0.3708,Documentário,Série,Nova Série,1
Blue Moon,2025-12-12,0.3668,Não informado,Série,Nova Série,1
The Valley,2026-09-05,0.3666,Não informado,Série,Nova Série,1
Stronger Together,2026-02-01,0.3666,Não informado,Série,Nova Série,1
SMILLAS GESPÜR FÜR SCHNEE,2026-01-01,0.3648,Não informado,Série,Nova Série,1
Dissonance,2025-12-30,0.3632,Não informado,Série,Nova Série,1
玄界之门,2025-11-26,0.3611,"Animação, Sci-Fi & Fantasy",Série,Nova Série,1
Tarot,2026-01-01,0.3607,Não informado,Série,Nova Série,1
Tales of the Bible - Histórias da Bíblia,2025-12-18,0.3607,Não informado,Série,Nova Série,1
Inside Signa - Aufstieg und Fall des René Benko,2026-01-01,0.3607,Não informado,Série,Nova Série,1
Power Book V: Legacy,2027-09-19,0.2987,"Crime, Drama",Série,Nova Série,1
声鸣远扬,2025-11-09,0.2522,Não informado,Série,Nova Série,1
Malgré moi,2025-11-30,0.2054,Não informado,Série,Nova Série,1
FUTURE KID TAKARA,2025-11-08,0.1692,"Animação, Kids, Action & Adventure, Sci-Fi & Fantasy",Série,Nova Série,1
Heated Rivalry,2025-11-07,0.1676,Não informado,Série,Nova Série,1
Coração Acelerado,2026-01-12,0.1247,"Comédia, Soap",Série,Nova Série,1
RJ Decker,2026-02-24,0.1228,"Drama, Comédia",Série,Nova Série,1
Frier und Fünfzig - Am Ende meiner Tage,2025-11-24,0.1125,Comédia,Série,Nova Série,1
Crew Girl,2026-09-12,0.0993,Não informado,Série,Nova Série,1
Break from Apocalypse,2025-11-02,0.0806,Drama,Série,Nova Série,1
MONEYLENDER,2025-12-01,0.0643,"Drama, Animação, Action & Adventure",Série,Nova Série,1
Detective Naveed,2025-11-01,0.0554,Não informado,Série,Nova Série,1
キンパとおにぎり〜恋するふたりは似ていてちがう〜,2026-01-12,0.0411,Drama,Série,Nova Série,1
Crime désorganisé: au cœur de la délinquance juvénile,2025-11-27,0.0379,Documentário,Série,Nova Série,1
THE PETRA Ultimate Series,2025-11-01,0.0286,Não informado,Série,Nova Série,1
Tuxedo Knife,2025-12-01,0.0256,Não informado,Série,Nova Série,1
Husk to Self,2025-11-02,0.0,Drama,Série,Nova Série,1
Diamond: Dawn Of The Primal,2026-12-07,0.0,Não informado,Série,Nova Série,1
